排名	关键词	热度	特征	时间
1	许飞回应超女重聚	3792198	热	2020-04-05T14:27:27.661817
2	山东1岁女婴确定为无症状感染者	1732011	新	2020-04-05T14:27:27.661995
3	肌光14天	1726353	荐	2020-04-05T14:27:27.662142
4	孔雪儿哭了	1166173		2020-04-05T14:27:27.662285
5	尚雯婕	1116206	热	2020-04-05T14:27:27.662399
6	青春有你 搞笑综艺	1102253	新	2020-04-05T14:27:27.662540
7	N号房用户试图花钱删除访问记录	1052494	新	2020-04-05T14:27:27.662678
8	金子涵颜值	934136		2020-04-05T14:27:27.662817
9	美国禁止N95口罩出口加拿大	695095		2020-04-05T14:27:27.662930
10	电竞春晚	620799	新	2020-04-05T14:27:27.663043
11	北京可能较长时期处于疫情防控状态	617844		2020-04-05T14:27:27.663180
12	煽情环节	598183	新	2020-04-05T14:27:27.663294
13	瑞幸咖啡道歉	508772		2020-04-05T14:27:27.663430
14	钟南山呼吁公众继续保持距离	490924		2020-04-05T14:27:27.663542
15	日本女子持刀具汽油罐闯入首相私宅	468439		2020-04-05T14:27:27.663653
16	幼儿园保安独自在操场下半旗志哀	457906		2020-04-05T14:27:27.663774
17	安吉拉	456568		2020-04-05T14:27:27.663901
18	厉娜	454637	新	2020-04-05T14:27:27.664024
19	最硬核的离职信	450714	新	2020-04-05T14:27:27.664192
20	厄瓜多尔最大城市街道现多具尸体	446131		2020-04-05T14:27:27.664359
21	特朗普回应美国截和德国口罩	442652		2020-04-05T14:27:27.664481
22	张文宏谈中医药抗疫	441997	新	2020-04-05T14:27:27.664603
23	成年人常见潜台词	439546		2020-04-05T14:27:27.664755
24	RNG iG	430997	新	2020-04-05T14:27:27.664875
25	Lisa严格	395787	热	2020-04-05T14:27:27.665026
26	台湾民众不戴口罩挤爆夜市	360145		2020-04-05T14:27:27.665177
27	结石姐钱老板再度分手	349897		2020-04-05T14:27:27.665299
28	菠菠粿儿	342017		2020-04-05T14:27:27.665419
29	大型恐怖片之窗外有眼	309167		2020-04-05T14:27:27.665540
30	盖茨将投资7种疫苗数十亿美元	309142	新	2020-04-05T14:27:27.665660
31	比利时新冠肺炎确诊病例近2万	291580	新	2020-04-05T14:27:27.665814
32	女子隐瞒症状解除隔离后确诊	291323		2020-04-05T14:27:27.665966
33	数码宝贝	253252		2020-04-05T14:27:27.666087
34	小球迷想要C罗发型却变大罗	249928		2020-04-05T14:27:27.666206
35	中国没有也不会限制医疗物资出口	243809		2020-04-05T14:27:27.666327
36	凉山武警给烧伤山羊喂水	241399		2020-04-05T14:27:27.666450
37	意大利小镇67%献血者测出病毒抗体	236364		2020-04-05T14:27:27.666570
38	黄山景区回应游客扎堆	234682		2020-04-05T14:27:27.666693
39	开学时间	234333		2020-04-05T14:27:27.666814
40	长江大桥下的武汉春天	218807	新	2020-04-05T14:27:27.666935
41	多人因发布涉悼念不当言论被处理	218512	新	2020-04-05T14:27:27.667088
42	隔离期瞒报症状成重症患者	217297	新	2020-04-05T14:27:27.667239
43	候车老人静立脱帽默哀	216561	新	2020-04-05T14:27:27.667391
44	如何分辨大一和大四学生	215465	新	2020-04-05T14:27:27.667543
45	大多中国家长的错觉	214764	新	2020-04-05T14:27:27.667696
46	重庆云阳发生非洲猪瘟疫情	214483	新	2020-04-05T14:27:27.667846
47	樱花芝士冰淇淋	213667	新	2020-04-05T14:27:27.667999
48	心脏骤停医护原拟于5日上午回家	212929		2020-04-05T14:27:27.668148
49	你为追星做过最拼的事	210100		2020-04-05T14:27:27.668289
50	刚毕业和上班后的心态变化	203111		2020-04-05T14:27:27.668409
