排名	关键词	热度	特征	时间
1	钟南山说One world One fight	2815913	热	2020-04-15T08:28:56.909806
2	安倍考虑给每人发10万日元现金	2778516	新	2020-04-15T08:28:56.909983
3	混油本命 极光水	2761749	荐	2020-04-15T08:28:56.910142
4	北大支援武大 清华支援华科	2760090		2020-04-15T08:28:56.910306
5	误入武汉的小伙回家又遇囧途	2668225	新	2020-04-15T08:28:56.910432
6	张若昀菲凡心选	2658637	荐	2020-04-15T08:28:56.910586
7	联合国秘书长谈特朗普暂停资助世卫	2653474	新	2020-04-15T08:28:56.910742
8	全球最年轻亿万富翁仅22岁	2587862		2020-04-15T08:28:56.910897
9	专家建议新冠肺炎愈后3个月再考虑生育	2556944		2020-04-15T08:28:56.911020
10	张新成呼吁粉丝不要接送机	2473104		2020-04-15T08:28:56.911143
11	开学第一天忘记教室在哪	2422993		2020-04-15T08:28:56.911267
12	369追星成功	2416183		2020-04-15T08:28:56.911390
13	迪拜人造流星雨	2318885		2020-04-15T08:28:56.911514
14	特朗普宣布暂停资助世卫组织	2297188	热	2020-04-15T08:28:56.911637
15	湖北捐助黑龙江首批医用物资	2229506		2020-04-15T08:28:56.911791
16	意大利人在阳台用长杆碰杯	2207150		2020-04-15T08:28:56.911914
17	吉林乾安发生交通事故致11死5伤	2160006		2020-04-15T08:28:56.912036
18	陈乔恩否认怀孕	2119345	新	2020-04-15T08:28:56.912156
19	喜茶	1926940	热	2020-04-15T08:28:56.912327
20	何炅送易烊千玺师大附中校服	1671328	新	2020-04-15T08:28:56.912479
21	非洲棺材大赏	980157	新	2020-04-15T08:28:56.912633
22	权志龙	767717		2020-04-15T08:28:56.912783
23	有人网课划水两月不知悔改	657896		2020-04-15T08:28:56.912905
24	情侣开学后隔着栅栏牵手半小时	623375	新	2020-04-15T08:28:56.913026
25	金秀贤怀孕	562281	热	2020-04-15T08:28:56.913177
26	中东大量宠物被遗弃	404697	新	2020-04-15T08:28:56.913328
27	大四男生为援鄂护士辅导孩子64天	379506	新	2020-04-15T08:28:56.913479
28	刘诗诗油彩封面	337630		2020-04-15T08:28:56.913631
29	当香港人说东北话	332562		2020-04-15T08:28:56.913756
30	多国包机密集来华购物	316541	新	2020-04-15T08:28:56.913878
31	董明珠谈直播带货	267081		2020-04-15T08:28:56.914028
32	聚美优品将从纽交所退市	264692	新	2020-04-15T08:28:56.914149
33	水钻头纱	261247		2020-04-15T08:28:56.914300
34	考研失败是种什么体验	241480		2020-04-15T08:28:56.914422
35	法国护士控诉口罩过期19年	217482	新	2020-04-15T08:28:56.914543
36	网剧可参评飞天奖	216922		2020-04-15T08:28:56.914696
37	荷兰弟兄弟扔水瓶	209566		2020-04-15T08:28:56.914818
38	奥巴马支持拜登竞选总统	204694		2020-04-15T08:28:56.914940
39	云闪付	204085		2020-04-15T08:28:56.915061
40	女生性格太敏感是什么体验	186226		2020-04-15T08:28:56.915182
41	部分直播平台青少年模式形同虚设	181070	新	2020-04-15T08:28:56.915304
42	乡村58岁教师每日步行60里收发作业	176218	新	2020-04-15T08:28:56.915455
43	袁隆平提出发展海水稻目标	172528		2020-04-15T08:28:56.915610
44	张新成时尚芭莎电子刊	169604	新	2020-04-15T08:28:56.915730
45	黄金脆皮排骨	168447	新	2020-04-15T08:28:56.915881
46	女子推婴儿车隧道内逆行	168041	新	2020-04-15T08:28:56.916033
47	一起长大的100件小事	168034	新	2020-04-15T08:28:56.916202
48	FPX冠军皮肤幕后故事预告片	167486		2020-04-15T08:28:56.916351
49	汤姆汉克斯夫妇献血协助疫苗研发	161095		2020-04-15T08:28:56.916421
50	援鄂男护士收到偶像彭于晏签名照	157645		2020-04-15T08:28:56.916489
