排名	关键词	热度	特征	时间
1	陕西出现一名9岁新型肺炎病例	12181652	爆	2020-01-25T09:40:17.002938
2	钟南山称已有药物将用于临床治疗	3091378	沸	2020-01-25T09:40:17.003074
3	无条件收治所有疑似患者	2810988	热	2020-01-25T09:40:17.003192
4	一级响应是什么	2752071	新	2020-01-25T09:40:17.003309
5	从重查处口罩大幅涨价行为	2513602	新	2020-01-25T09:40:17.003417
6	春节7天芒果TV全免费	2493211	荐	2020-01-25T09:40:17.003524
7	全国确诊新型肺炎病例	2411643	沸	2020-01-25T09:40:17.003631
8	浙江首批135名医护人员驰援武汉	1521877	新	2020-01-25T09:40:17.003737
9	武汉中心城区实行机动车禁行	1511282	新	2020-01-25T09:40:17.003843
10	六大主播集体拜年	1473286		2020-01-25T09:40:17.003949
11	22个省区市已启动一级响应	1441018		2020-01-25T09:40:17.004043
12	武汉征用24家医院万张床位	1181303		2020-01-25T09:40:17.004140
13	最小新型肺炎确诊病例仅2岁	1179283	热	2020-01-25T09:40:17.004251
14	1月22号K1068次列车4号车厢	1029730	热	2020-01-25T09:40:17.004372
15	交通部要求疫情防控物资优先通行	676125	新	2020-01-25T09:40:17.004494
16	21日D3937次7号车厢乘客	670485	新	2020-01-25T09:40:17.004613
17	药店10只口罩卖850元将受高额处罚	634057	新	2020-01-25T09:40:17.004732
18	湖南旺旺医院	615943	新	2020-01-25T09:40:17.004851
19	广西20万副N95口罩发往武汉	606116	新	2020-01-25T09:40:17.004970
20	佟丽娅口红	590175		2020-01-25T09:40:17.005090
21	泰州一感染科医生离世	585856	新	2020-01-25T09:40:17.005185
22	年初一凌晨4点丈夫送妻出征武汉	579111	热	2020-01-25T09:40:17.005303
23	急诊科医生	572039	新	2020-01-25T09:40:17.005422
24	轻症患者居家隔离怎么做	570896	新	2020-01-25T09:40:17.005541
25	欧文重新关注詹姆斯	560032		2020-01-25T09:40:17.005660
26	李宇春 幸福长流母亲河	557442	热	2020-01-25T09:40:17.005756
27	陶勇 如果做不了手术可以做研究	557276	热	2020-01-25T09:40:17.005873
28	辽宁启动一级响应	552013	新	2020-01-25T09:40:17.005991
29	锦衣之下	546739		2020-01-25T09:40:17.006108
30	张天爱好仙	512019		2020-01-25T09:40:17.006204
31	陈总 夫人已经不演您的电影了	491499		2020-01-25T09:40:17.006295
32	梁武东医生因新冠肺炎去世	486415		2020-01-25T09:40:17.006383
33	广东发现1起工作同事聚集性疫情	473790		2020-01-25T09:40:17.006472
34	封城日记	457407		2020-01-25T09:40:17.006559
35	钟南山	443666		2020-01-25T09:40:17.006644
36	河南启动一级响应	417254		2020-01-25T09:40:17.006730
37	新加坡抵杭州一架航班所有乘客隔离	414573		2020-01-25T09:40:17.006822
38	大年初一	405528		2020-01-25T09:40:17.006917
39	火神山医院将于2月1日建成	405228		2020-01-25T09:40:17.007012
40	上海民政局取消2月2日结婚登记	314840		2020-01-25T09:40:17.007107
41	黑龙江启动一级响应	289512	新	2020-01-25T09:40:17.007202
42	武汉加油表情	287183	新	2020-01-25T09:40:17.007321
43	日本确诊3例新型肺炎病例	274727	新	2020-01-25T09:40:17.007439
44	病房看春晚不觉得孤单	261214		2020-01-25T09:40:17.007558
45	香港新增3例新型肺炎确诊病例	257835	新	2020-01-25T09:40:17.007653
46	武汉85家酒店支援医护人员	257071		2020-01-25T09:40:17.007772
47	新年吃的第一顿饭是什么	252521		2020-01-25T09:40:17.007869
48	新疆启动一级响应	252431		2020-01-25T09:40:17.007964
49	锡安拉杆上篮	247675	新	2020-01-25T09:40:17.008058
50	伦纳德生涯首个三双	244802		2020-01-25T09:40:17.008184
