排名	关键词	热度	特征	时间
1	韩国罕见新冠病例	353517	热	2020-03-19T20:32:30.695969
2	美国新冠肺炎确诊人数超1万	234601		2020-03-19T20:32:30.696120
3	虞书欣初舞台	189646		2020-03-19T20:32:30.696239
4	秦牛正威诗朗诵	187067		2020-03-19T20:32:30.696341
5	白岩松说今年大家最喜欢的数字是0	171821		2020-03-19T20:32:30.696448
6	全国首例朱鹮接嘴手术	151642		2020-03-19T20:32:30.696559
7	武汉公安局决定撤销李文亮训诫书	134607		2020-03-19T20:32:30.696667
8	李文亮被训诫案两责任人被处理	122540		2020-03-19T20:32:30.696778
9	巴基斯坦总统说帮中国时没想留后路	122261		2020-03-19T20:32:30.696884
10	段小薇拿A	122184		2020-03-19T20:32:30.696990
11	张文宏谈普通人能为防输入做什么	97769		2020-03-19T20:32:30.697095
12	福建平潭蓝眼泪奇观	86478		2020-03-19T20:32:30.697201
13	巴菲特8天损失超240亿美元	82354		2020-03-19T20:32:30.697306
14	三千鸦杀	79042		2020-03-19T20:32:30.697413
15	班级群又翻车了	78968		2020-03-19T20:32:30.697518
16	郑爽机场造型	78889		2020-03-19T20:32:30.697624
17	吴倩好可爱	78830		2020-03-19T20:32:30.697728
18	摩纳哥亲王确诊新冠	78747		2020-03-19T20:32:30.697834
19	安家大结局预告	78656		2020-03-19T20:32:30.697938
20	第一次坐飞机是种什么体验	78612		2020-03-19T20:32:30.698043
21	刘雨昕实力	77347		2020-03-19T20:32:30.698148
22	重生	74603		2020-03-19T20:32:30.698254
23	朱闪闪季明亮分手	71283		2020-03-19T20:32:30.698359
24	修图前后的我	64783		2020-03-19T20:32:30.698463
25	自尊心最强的一次经历	54955		2020-03-19T20:32:30.698568
26	王俊凯邓紫棋合唱	54784		2020-03-19T20:32:30.698673
27	易烊千玺声音	53703		2020-03-19T20:32:30.698779
28	厄瓜多尔一市长派车队上跑道拦飞机	53155		2020-03-19T20:32:30.698885
29	墨西哥总统随身携带护身符	53016		2020-03-19T20:32:30.698991
30	开学前的大学生状态	52971		2020-03-19T20:32:30.699092
31	妈妈每次唱了都翻车的歌	46815		2020-03-19T20:32:30.699187
32	林书豪返回中国	44686		2020-03-19T20:32:30.699282
33	大风下的吴磊	43703		2020-03-19T20:32:30.699377
34	龚正任上海市委副书记	43088		2020-03-19T20:32:30.699470
35	美股	43043		2020-03-19T20:32:30.699566
36	王力宏	42168		2020-03-19T20:32:30.699662
37	北京警方要求澳籍跑步女限期离境	40718		2020-03-19T20:32:30.699754
38	冰糖炖雪梨	37438		2020-03-19T20:32:30.699849
39	海外抵港人士需佩戴追踪手带	36269		2020-03-19T20:32:30.699943
40	广州一大厦现连续高空砸物事件	35691		2020-03-19T20:32:30.700036
41	李文亮医生有关情况调查通报	34123		2020-03-19T20:32:30.700130
42	平底锅草莓千层蛋糕	34091		2020-03-19T20:32:30.700235
43	西班牙确诊病例累计17147例	32543		2020-03-19T20:32:30.700329
44	湖北首个景区复工开园	31801		2020-03-19T20:32:30.700422
45	哆啦A梦剧场版重新定档	30538		2020-03-19T20:32:30.700517
46	房似锦徐姑姑辞职	29497		2020-03-19T20:32:30.700610
47	虞书欣妈妈给费沁源投票	28355		2020-03-19T20:32:30.700703
48	柳惠媛  胜利	26573		2020-03-19T20:32:30.700798
49	安家	22643		2020-03-19T20:32:30.700891
50	玉兔二号累计行驶405.44米	18003		2020-03-19T20:32:30.700984
