排名	关键词	热度	特征	时间
1	高考确认延期一个月	5515866	新	2020-03-31T07:07:20.569056
2	官方回应T179翻车前村民报警	2786025	新	2020-03-31T07:07:20.569202
3	我国首次测得可可西里水下地形数据	1787232	新	2020-03-31T07:07:20.569327
4	高考	1512504	新	2020-03-31T07:07:20.569447
5	刘雯方否认与陈伟霆恋情	1346722	热	2020-03-31T07:07:20.569566
6	卸载美颜软件的第一天	1297480		2020-03-31T07:07:20.569682
7	西昌山火致19名地方扑火人员牺牲	1276376		2020-03-31T07:07:20.569778
8	医疗队小哥哥穿裙子	1061819	新	2020-03-31T07:07:20.569874
9	那些复读的人后来怎么样了	994544		2020-03-31T07:07:20.569988
10	鲍里斯支持率创新高	991695		2020-03-31T07:07:20.570083
11	见证历史	991031	新	2020-03-31T07:07:20.570177
12	西昌山火牺牲队员最后出征画面	790545	新	2020-03-31T07:07:20.570296
13	网上逃犯请求回国投案	760157		2020-03-31T07:07:20.570414
14	日本确诊病例超2000例	752507	新	2020-03-31T07:07:20.570509
15	美军出现首个新冠肺炎死亡病例	669491		2020-03-31T07:07:20.570621
16	北京2020高招模拟志愿网报时间	523557	新	2020-03-31T07:07:20.570713
17	女生睡觉的标配	522357		2020-03-31T07:07:20.570823
18	花瓣礼裙	520569	新	2020-03-31T07:07:20.570915
19	法吉特清空微博	518472		2020-03-31T07:07:20.571020
20	十分想开学的四种人	514119		2020-03-31T07:07:20.571104
21	嗑cp式恋爱	511730		2020-03-31T07:07:20.571187
22	特朗普被美媒记者灵魂质问	509456		2020-03-31T07:07:20.571269
23	开学后的食堂座位	507617		2020-03-31T07:07:20.571350
24	速度与激情外传开发续集	506347		2020-03-31T07:07:20.571432
25	钞票礼裙	497493	新	2020-03-31T07:07:20.571520
26	留学生被诊断疑似感染放弃回国	494972		2020-03-31T07:07:20.571633
27	西班牙许多动物淡定上街散步	485813		2020-03-31T07:07:20.571722
28	高分卫星紧急驰援四川凉山森林火灾	465340		2020-03-31T07:07:20.571813
29	你用过的旧手机都去哪儿了	460717		2020-03-31T07:07:20.571897
30	杯子蛋糕唇膏	446009	新	2020-03-31T07:07:20.571978
31	得知高考延期后的我	428312	新	2020-03-31T07:07:20.572078
32	广州东晓南路地陷	402991		2020-03-31T07:07:20.572206
33	武汉市民70天第一次出门	401681		2020-03-31T07:07:20.572303
34	敦煌大沙地现淡水湖泊	394815		2020-03-31T07:07:20.572398
35	特朗普与州政府防疫分歧严重	386086		2020-03-31T07:07:20.572481
36	一直记得你生日的朋友	385830		2020-03-31T07:07:20.572571
37	3月最后一天	379891		2020-03-31T07:07:20.572664
38	美国新冠肺炎患者超16万	368890		2020-03-31T07:07:20.572755
39	王者荣耀新英雄镜	337699	新	2020-03-31T07:07:20.572843
40	李兰娟院士医疗队凯旋	335726		2020-03-31T07:07:20.572953
41	200斤鸵鸟昆明市区狂奔	315914		2020-03-31T07:07:20.573041
42	经纪人发长文悼念刘真	295394		2020-03-31T07:07:20.573132
43	地铁内使用电子产品不允许外放	283602	新	2020-03-31T07:07:20.573215
44	张歆艺娄艺潇金晨艾特李静	283323		2020-03-31T07:07:20.573322
45	易烊千玺卷发造型	264208	新	2020-03-31T07:07:20.573413
46	萧敬腾承认与经纪人恋情	252962	新	2020-03-31T07:07:20.573523
47	王者荣耀新赛季	251857		2020-03-31T07:07:20.573631
48	相叶雅纪悼念志村健	251059	新	2020-03-31T07:07:20.573722
49	前2月全国减税降费4027亿元	250721		2020-03-31T07:07:20.573831
50	肯尼亚硬核抗疫	232319		2020-03-31T07:07:20.573923
