排名	关键词	热度	特征	时间
1	蔡依林演唱会遭醉酒男子闹场	2185717	新	2020-01-06T02:35:25.840917
2	支付宝年度账单	2048351	新	2020-01-06T02:35:25.841034
3	伊朗宣布退出伊核协议	1920878	沸	2020-01-06T02:35:25.841134
4	伊拉克议会决定终结美军存在	768034		2020-01-06T02:35:25.841229
5	邓紫棋 深V礼服	732104		2020-01-06T02:35:25.841305
6	周冬雨拔完智齿脸肿	598008	热	2020-01-06T02:35:25.841388
7	金球奖	575752	新	2020-01-06T02:35:25.841490
8	同行质疑救人女护士施救不专业	563242	新	2020-01-06T02:35:25.841591
9	想见你	402585	沸	2020-01-06T02:35:25.841692
10	小寒	388223		2020-01-06T02:35:25.841791
11	北大博导获IEEE青年成就奖	332276		2020-01-06T02:35:25.841870
12	2020年的第一场雪	331395		2020-01-06T02:35:25.841950
13	明道方回应哥哥自杀	330890	热	2020-01-06T02:35:25.842029
14	李铁 有私心的球员在国家队没有位置	315625	新	2020-01-06T02:35:25.842140
15	伊朗称无意与美国开战	308030		2020-01-06T02:35:25.842241
16	苏州十全街塌陷	287055	新	2020-01-06T02:35:25.842321
17	瓶子求婚	280705		2020-01-06T02:35:25.842421
18	92岁医生一周看600位病人	254808	新	2020-01-06T02:35:25.842498
19	闺蜜好看是什么体验	246262		2020-01-06T02:35:25.842599
20	湖南数百辆共享单车丢失	235815	新	2020-01-06T02:35:25.842680
21	美颜滤镜下的陈小春	230678	热	2020-01-06T02:35:25.842778
22	2019年出入境人员达6.7亿人次	195228		2020-01-06T02:35:25.842875
23	卢靖姗旁观韩庚拍吻戏	181365	热	2020-01-06T02:35:25.842953
24	那些让你愁到睡不着的事	180751		2020-01-06T02:35:25.843050
25	自卑的人是什么样	172679		2020-01-06T02:35:25.843127
26	Ricky Garcia	171887		2020-01-06T02:35:25.843205
27	云南冬樱美如画	152496	新	2020-01-06T02:35:25.843283
28	北方同学给南方同学堆雪人	148154	新	2020-01-06T02:35:25.843380
29	张大仙 最受欢迎主播	133334		2020-01-06T02:35:25.843479
30	南京邮电大学研究生意外死亡通报	125731		2020-01-06T02:35:25.843559
31	特朗普 美军不会离开伊拉克	124506	新	2020-01-06T02:35:25.843638
32	肖战张韶涵呐喊	124080		2020-01-06T02:35:25.843734
33	千与千寻原景地雪景	118427		2020-01-06T02:35:25.843812
34	最令人反感的emoji表情	109766		2020-01-06T02:35:25.843891
35	大明风华	107654		2020-01-06T02:35:25.843968
36	景山 雪	105901	新	2020-01-06T02:35:25.844046
37	小S给蔡依林送的花篮	105291		2020-01-06T02:35:25.844143
38	精英律师	100452		2020-01-06T02:35:25.844222
39	民警马拉松执勤偶遇参赛妻子	97741	新	2020-01-06T02:35:25.844301
40	我们的歌	95229		2020-01-06T02:35:25.844399
41	天天向上	93697		2020-01-06T02:35:25.844478
42	衡水中学开冰雪运动会	89865	新	2020-01-06T02:35:25.844557
43	孙铭徽37分	88939		2020-01-06T02:35:25.844652
44	美70多城举行反战示威活动	88068	新	2020-01-06T02:35:25.844729
45	霉霉 印花长裙	88001	新	2020-01-06T02:35:25.844827
46	该不该把兴趣当做职业	87980		2020-01-06T02:35:25.844923
47	周深李克勤天下有情人	76160		2020-01-06T02:35:25.845002
48	人脸手机壳	73968		2020-01-06T02:35:25.845081
49	你和爸妈相同的爱好	71321		2020-01-06T02:35:25.845159
50	千人录视频网络合唱一首歌	64724		2020-01-06T02:35:25.845236
