排名	关键词	热度	特征	时间
1	南京杀妻碎尸案已判决	183340	热	2020-01-10T22:15:13.560044
2	亲爱的客栈	128180		2020-01-10T22:15:13.560148
3	新年没纹题	123500	荐	2020-01-10T22:15:13.560249
4	12306回应能否实现往返车票同时销售	76180		2020-01-10T22:15:13.560345
5	用请回答1988打开乡村爱情	73882		2020-01-10T22:15:13.560420
6	何赛穿裙子	68095		2020-01-10T22:15:13.560497
7	李承铉泰迪卷	54718		2020-01-10T22:15:13.560571
8	林书豪穿高以翔送的西服	49244	热	2020-01-10T22:15:13.560645
9	国家最高科学技术奖	48608	沸	2020-01-10T22:15:13.560735
10	朱丹经纪人发长文	48364	热	2020-01-10T22:15:13.560824
11	吴亦凡生图	43984		2020-01-10T22:15:13.560906
12	山的那边真的有大海	43947		2020-01-10T22:15:13.560976
13	误杀票房破10亿	43746		2020-01-10T22:15:13.561050
14	泰国77头表演大象解开脚链	43388		2020-01-10T22:15:13.561120
15	烟台走失女大学生确认遇难	43116		2020-01-10T22:15:13.561194
16	半影月食	42972		2020-01-10T22:15:13.561266
17	电信号转网被要求交5万赔偿金	42671	新	2020-01-10T22:15:13.561333
18	大明风华	42372		2020-01-10T22:15:13.561419
19	播音员是怎么忍住不笑场的	42370		2020-01-10T22:15:13.561490
20	林珊珊见面会	41600		2020-01-10T22:15:13.561561
21	彭于晏 杭州	40706		2020-01-10T22:15:13.561633
22	当代年轻人酒量	38623		2020-01-10T22:15:13.561700
23	挂科几率最高的科目	31233		2020-01-10T22:15:13.561765
24	让成年人感到窒息的事	29547		2020-01-10T22:15:13.561829
25	王俊凯裤子是假两件	27167		2020-01-10T22:15:13.561894
26	医生处方开秋裤	27152		2020-01-10T22:15:13.561959
27	上海银行	26334		2020-01-10T22:15:13.562029
28	4256万元的大石瓢	21359		2020-01-10T22:15:13.562104
29	特朗普建议中东加入北约	20827		2020-01-10T22:15:13.562177
30	徐峥想和娄烨合作	20682		2020-01-10T22:15:13.562249
31	孟美岐 齐刘海	19118		2020-01-10T22:15:13.562315
32	戈恩出逃被做成日本游戏	17710		2020-01-10T22:15:13.562380
33	母亲遗弃自闭症儿子警方决定不起诉	17620		2020-01-10T22:15:13.562448
34	操场埋尸案二审维持原判	16683		2020-01-10T22:15:13.562520
35	南京将投放一千台AED设备	16360		2020-01-10T22:15:13.562589
36	张东健朱镇模聊天截图	16173		2020-01-10T22:15:13.562661
37	同一个世界同一个妈的原因	15457		2020-01-10T22:15:13.562731
38	为考研一年去图书馆1023次	14826		2020-01-10T22:15:13.562803
39	迪丽热巴生图	14069		2020-01-10T22:15:13.562875
40	因机票作废躲过坠机航班	13989		2020-01-10T22:15:13.562941
41	3D鲨鱼卫衣	12870		2020-01-10T22:15:13.563006
42	超大长靴	12584		2020-01-10T22:15:13.563075
43	林宥嘉抽奖抽中阿信	12407		2020-01-10T22:15:13.563150
44	小雏菊配饰	12341		2020-01-10T22:15:13.563222
45	金钱高跟鞋	12046		2020-01-10T22:15:13.563293
46	92岁爷爷娶78岁奶奶	11869		2020-01-10T22:15:13.563365
47	冰雪奇缘最美小镇	11791		2020-01-10T22:15:13.563439
48	医生声东击西式采血	11516		2020-01-10T22:15:13.563511
49	列车员把化妆品当药品卖	11120		2020-01-10T22:15:13.563582
50	消防员带23个证书奖章回家过年	10253		2020-01-10T22:15:13.563653
