排名	关键词	热度	特征	时间
1	娜扎看完我的年度账单	3210410	沸	2020-01-06T14:29:26.909801
2	伊朗最高领袖在少将葬礼上哭泣	2287654	新	2020-01-06T14:29:26.909875
3	范闲二皇子牵手	2136848	沸	2020-01-06T14:29:26.909936
4	宋轶冰淇淋绿长裙	1644714	新	2020-01-06T14:29:26.909995
5	戴曦人设	1166799	新	2020-01-06T14:29:26.910051
6	张若昀金蝉脱壳	1165821	荐	2020-01-06T14:29:26.910137
7	周二珂恋情	1164918	热	2020-01-06T14:29:26.910194
8	广州地陷一名失联人员已找到	1162201		2020-01-06T14:29:26.910250
9	外交部回应美伊矛盾升级	1160747		2020-01-06T14:29:26.910296
10	蓬莱间	1157760	新	2020-01-06T14:29:26.910341
11	赵丽颖蓝色纱裙	1157344	沸	2020-01-06T14:29:26.910396
12	锦衣之下	1121821	新	2020-01-06T14:29:26.910454
13	武汉一建筑工地发生坍塌致6死5伤	1045705		2020-01-06T14:29:26.910518
14	支付宝年度账单	959686	热	2020-01-06T14:29:26.910569
15	鹤唳华亭大结局	915803		2020-01-06T14:29:26.910631
16	手机QQ可显示对方实时电量	776689	热	2020-01-06T14:29:26.910680
17	医生误开癫痫药给6岁女童吃	772386	新	2020-01-06T14:29:26.910741
18	肖战公主抱体重上限	735606	新	2020-01-06T14:29:26.910803
19	无印良品中国区利润8年来首降	682028		2020-01-06T14:29:26.910864
20	澳大利亚血色天空	515554	新	2020-01-06T14:29:26.910914
21	权志龙 小松菜奈	474560	热	2020-01-06T14:29:26.910974
22	阅文盛典	384560		2020-01-06T14:29:26.911035
23	王小琴	379728		2020-01-06T14:29:26.911084
24	民警鞠梓去世	379241		2020-01-06T14:29:26.911133
25	你无法理解的网红零食	356595		2020-01-06T14:29:26.911182
26	林允儿汉语中级考试合格	355806	热	2020-01-06T14:29:26.911231
27	日本女子持刀砍伤中国游客	354870		2020-01-06T14:29:26.911292
28	李庚希时尚大片	338316		2020-01-06T14:29:26.911341
29	美对伊极限施压是伊核紧张局势根源	292875		2020-01-06T14:29:26.911390
30	第一次涂口红的你	292799		2020-01-06T14:29:26.911439
31	记者实拍澳洲山火惨烈景象	245141		2020-01-06T14:29:26.911488
32	周震南戴双眼皮眼镜	234376		2020-01-06T14:29:26.911537
33	91年女孩2000米山上教学5年	213106	新	2020-01-06T14:29:26.911586
34	土耳其向利比亚派兵	211422		2020-01-06T14:29:26.911648
35	女朋友生气的未解之谜	210812		2020-01-06T14:29:26.911697
36	心机太深的人要怎么相处	200233		2020-01-06T14:29:26.911746
37	清华美院男生堆思想者雪人	193130		2020-01-06T14:29:26.911794
38	肖战银发造型	192540		2020-01-06T14:29:26.911842
39	被身边男孩子夸过的香水	191861	新	2020-01-06T14:29:26.911891
40	你认为的丑帅是什么样子	173043		2020-01-06T14:29:26.911949
41	摇花手让身体更健康	166213		2020-01-06T14:29:26.911994
42	故宫雪景壁纸上新	158261		2020-01-06T14:29:26.912038
43	当代小朋友的素质有多高	148136		2020-01-06T14:29:26.912083
44	给爱的人和自己花钱的区别	121844	新	2020-01-06T14:29:26.912126
45	千年前地下排水系统长啥样	121220	新	2020-01-06T14:29:26.912180
46	办公室里的七种魔鬼同事	118272	新	2020-01-06T14:29:26.912235
47	雪地里的红腹锦鸡每一帧都是国画	113188	新	2020-01-06T14:29:26.912289
48	熊猫互娱进入实际破产程序	113145		2020-01-06T14:29:26.912344
49	福建的鱼鳞云	113102		2020-01-06T14:29:26.912388
50	如何看待背后嚼舌根的人	96901	新	2020-01-06T14:29:26.912431
