排名	关键词	热度	特征	时间
1	脑瘫外卖小哥被封号谢绝网友捐款	393527	沸	2020-02-19T23:45:16.382961
2	钟南山联手哈佛大学攻坚新冠病毒	276372		2020-02-19T23:45:16.383039
3	日本政府回应教授控诉钻石公主号	208768		2020-02-19T23:45:16.383093
4	考研成绩	203009	沸	2020-02-19T23:45:16.383142
5	金钟大发文	195095	沸	2020-02-19T23:45:16.383203
6	柳如丝自杀	177961	热	2020-02-19T23:45:16.383264
7	完美关系	137731		2020-02-19T23:45:16.383323
8	刘真	114057		2020-02-19T23:45:16.383371
9	韩国前总统李明博二审获刑17年	102545		2020-02-19T23:45:16.383420
10	武汉要求各区负责人签责任状	97360		2020-02-19T23:45:16.383468
11	武汉实施城市下水道消毒	91685		2020-02-19T23:45:16.383516
12	武汉除抗疫和特殊用途车辆一律禁行	85920		2020-02-19T23:45:16.383563
13	徐天发现十七是小红袄	80476		2020-02-19T23:45:16.383615
14	薯片袋拍照	80457		2020-02-19T23:45:16.383667
15	鄂州发布回应派出所分发物资	80430		2020-02-19T23:45:16.383720
16	她已经唱了整整五年了	80399		2020-02-19T23:45:16.383779
17	让谢广坤气死了	80333		2020-02-19T23:45:16.383830
18	金韩彬送中国粉丝数万只口罩	80290		2020-02-19T23:45:16.383881
19	厚劳大臣把钻石公主号乘客放回去了	80250		2020-02-19T23:45:16.383932
20	网购频率最高的零食	80247		2020-02-19T23:45:16.383984
21	男子离汉回京瞒报致母亲确诊	80210		2020-02-19T23:45:16.384035
22	韩国多名邪教徒确认感染新冠病毒	75238		2020-02-19T23:45:16.384088
23	不要随便蹲在路边	74516		2020-02-19T23:45:16.384140
24	湖南开学时间	70548		2020-02-19T23:45:16.384207
25	李纯演技	68539		2020-02-19T23:45:16.384260
26	现实中的嘴炮十级学者	61336		2020-02-19T23:45:16.384308
27	疫情结束后出街的我们	52821		2020-02-19T23:45:16.384355
28	抚州一线医务人员子女中考加20分	49619		2020-02-19T23:45:16.384402
29	武汉再发现居家确诊病人将问责	48088		2020-02-19T23:45:16.384453
30	94岁母亲举报65岁女儿聚众打麻将	47803		2020-02-19T23:45:16.384506
31	小汤圆爸妈出院	44263		2020-02-19T23:45:16.384559
32	土产零食之光	42246		2020-02-19T23:45:16.384609
33	刘智明	40635		2020-02-19T23:45:16.384659
34	国资委回应航空公司重组	39210		2020-02-19T23:45:16.384709
35	自己剪刘海	38800		2020-02-19T23:45:16.384760
36	武汉第八医院院长王萍感染新冠肺炎	38137		2020-02-19T23:45:16.384810
37	方舱医院小品合集	37280		2020-02-19T23:45:16.384862
38	江苏开学时间	34679		2020-02-19T23:45:16.384913
39	美颜滤镜下的比伯	31968		2020-02-19T23:45:16.384963
40	俄罗斯全面禁止中国公民入境	30753		2020-02-19T23:45:16.385016
41	家长满意网课的原因	28801		2020-02-19T23:45:16.385068
42	猫丑不怕巷子深	28218		2020-02-19T23:45:16.385119
43	春运40天全国铁路发送旅客2.1亿人次	26075		2020-02-19T23:45:16.385169
44	自热火锅	25488		2020-02-19T23:45:16.385221
45	钟南山回应新冠肺炎药物使用	25246		2020-02-19T23:45:16.385273
46	第一次看到堵车会开心	24601		2020-02-19T23:45:16.385323
47	朴灿烈直播	24487		2020-02-19T23:45:16.385373
48	铁林下线	23599		2020-02-19T23:45:16.385424
49	新世界	17750		2020-02-19T23:45:16.385473
50	白岩松对话王辰院士	16277		2020-02-19T23:45:16.385525
