排名	关键词	热度	特征	时间
1	包贝尔质疑青你2剪辑	4188978	热	2020-03-16T02:00:06.426454
2	美国新冠肺炎确诊病例超过3200例	4135052	新	2020-03-16T02:00:06.426581
3	古巨基当爸	4088793	热	2020-03-16T02:00:06.426688
4	赵志伟 没恋爱没出轨	3658991	新	2020-03-16T02:00:06.426791
5	意大利报纸讣告由1页半变10余页	1620045	新	2020-03-16T02:00:06.426891
6	云南新增一例西班牙输入病例	1231622	新	2020-03-16T02:00:06.426991
7	英229名科学家公开抨击群体免疫思路	1143349	新	2020-03-16T02:00:06.427090
8	美国启动7000亿美元量化宽松计划	1138674	新	2020-03-16T02:00:06.427188
9	德国将关闭与法国瑞士奥地利的边境	1136581		2020-03-16T02:00:06.427287
10	伊朗已完成1000万人疫情排查	1134635	新	2020-03-16T02:00:06.427367
11	张天爱的衣帽间	1118481		2020-03-16T02:00:06.427464
12	意大利新增3590例新冠肺炎	963576		2020-03-16T02:00:06.427548
13	张文宏称疫情今夏结束基本已不可能	910267	热	2020-03-16T02:00:06.427628
14	南非宣布进入国家灾难紧急状态	879007	新	2020-03-16T02:00:06.427727
15	世贸组织暂停4月底前所有会议	782033		2020-03-16T02:00:06.427824
16	异度侵入	750884	新	2020-03-16T02:00:06.427902
17	古巨基老婆	712434	新	2020-03-16T02:00:06.428001
18	中国之外新冠肺炎病例达72469例	688022	新	2020-03-16T02:00:06.428098
19	鸡蛋的神仙做法	677631		2020-03-16T02:00:06.428208
20	长大后越来越喜欢独处了	677563		2020-03-16T02:00:06.428289
21	小说中最扯淡的情节	653450		2020-03-16T02:00:06.428369
22	意大利一天新增368例死亡病例	514539		2020-03-16T02:00:06.428447
23	怎样不提雪字描述雪很大	474985		2020-03-16T02:00:06.428526
24	7岁男孩熊抱战疫归来的妈妈	355602		2020-03-16T02:00:06.428605
25	北京昨新增泰国输入病例被立案调查	352902		2020-03-16T02:00:06.428685
26	宫蓓蓓和老公吵架	349165		2020-03-16T02:00:06.428768
27	江苏兴化千垛油菜花开	318673		2020-03-16T02:00:06.428848
28	宿舍里发生的震惊事件	317242		2020-03-16T02:00:06.428927
29	挪威将寻求从中国进口医疗物资	310054		2020-03-16T02:00:06.429007
30	孟鹤堂好可爱	307079		2020-03-16T02:00:06.429087
31	法国累计确诊5423例新冠肺炎	279036	新	2020-03-16T02:00:06.429165
32	荷兰新冠肺炎确诊病例超千例	277532	新	2020-03-16T02:00:06.429264
33	叶东烈找斯黛拉道歉	275576		2020-03-16T02:00:06.429365
34	联合国秘书长呼吁全球共同向新冠宣战	272371		2020-03-16T02:00:06.429445
35	美联储将利率降至接近零水平	271118		2020-03-16T02:00:06.429523
36	邱晨	259882		2020-03-16T02:00:06.429603
37	邦尼人设	258356		2020-03-16T02:00:06.429682
38	安家	240074		2020-03-16T02:00:06.429761
39	小朋友你是否有很多问号的出处	236763		2020-03-16T02:00:06.429840
40	充分体现到撤回的重要性	235740		2020-03-16T02:00:06.429920
41	非洲26国报告新冠肺炎确诊病例	225327	新	2020-03-16T02:00:06.429999
42	房似锦弟弟窝囊	208577		2020-03-16T02:00:06.430100
43	美联储降息后美股股指期货暴跌	206422	新	2020-03-16T02:00:06.430187
44	娃娃脸女生颜值大赛	205948		2020-03-16T02:00:06.430302
45	天天向上	193411		2020-03-16T02:00:06.430392
46	徐姑姑保护房似锦	153668		2020-03-16T02:00:06.430482
47	美媒称或有100万美国人将感染新冠	149683	新	2020-03-16T02:00:06.430571
48	养宠物真的能缓解孤独吗	148997		2020-03-16T02:00:06.430684
49	买过最无语的假货	143182		2020-03-16T02:00:06.430772
50	北京小汤山医院所有医疗设备就位	109082		2020-03-16T02:00:06.430861
