排名	关键词	热度	特征	时间
1	钟南山称疫情拐点还要几天	6285281	沸	2020-02-07T14:36:36.776050
2	教育部 未经学校批准不准返校	3327678	新	2020-02-07T14:36:36.776144
3	广东学校2月底前不开学	2632181	新	2020-02-07T14:36:36.776233
4	周深 大鱼	2085727	新	2020-02-07T14:36:36.776303
5	歌手当打之年	2003457	新	2020-02-07T14:36:36.776368
6	花小厨真香现场	1705953		2020-02-07T14:36:36.776433
7	哭泣的胡明医生笑了	1669182	热	2020-02-07T14:36:36.776490
8	16省份一省包一市支援湖北	1293824	沸	2020-02-07T14:36:36.776560
9	新冠肺炎患者中央财政补助60％	1254479		2020-02-07T14:36:36.776625
10	全面调查李文亮事件	1148694	热	2020-02-07T14:36:36.776679
11	河北一患者隐瞒情况致77人密切接触	999286		2020-02-07T14:36:36.776742
12	南京抗疫医生徐辉离世	989183		2020-02-07T14:36:36.776793
13	我不是英雄 只是有人需要我	987643		2020-02-07T14:36:36.776842
14	全国新增确诊病例连续两天明显下降	985343		2020-02-07T14:36:36.776905
15	济南一小区门口安装防疫通道	981284	新	2020-02-07T14:36:36.776954
16	全国首个5G医用测温巡逻机器人	978902	新	2020-02-07T14:36:36.777014
17	杨幂白浅大婚造型	976916	热	2020-02-07T14:36:36.777078
18	济南一家三代6口人感染	972610	新	2020-02-07T14:36:36.777147
19	周杰捐献两万斤大米	970454	热	2020-02-07T14:36:36.777213
20	羽生结弦	966173		2020-02-07T14:36:36.777280
21	超市里买菜的都是男同志	965078	热	2020-02-07T14:36:36.777334
22	下一站是幸福预告	962073	新	2020-02-07T14:36:36.777401
23	用面包盒自制1600个防护面罩捐医院	841609		2020-02-07T14:36:36.777468
24	人一闲下来满脑子都是才华	734630		2020-02-07T14:36:36.777523
25	火神山医院一日三餐吃什么	666415	新	2020-02-07T14:36:36.777572
26	李文亮妻子	645919	热	2020-02-07T14:36:36.777634
27	鼓励有条件的机构开展核酸检测	556366	新	2020-02-07T14:36:36.777696
28	黄石首例确诊产妇康复出院	503466		2020-02-07T14:36:36.777757
29	白浅上线	452268	新	2020-02-07T14:36:36.777806
30	楼下老板实行闭门营业	440777		2020-02-07T14:36:36.777868
31	吃过最奇葩的汤圆	425420		2020-02-07T14:36:36.777916
32	岂曰无衣 与子同裳	424450		2020-02-07T14:36:36.777965
33	湖南元宵晚会设置弹幕式观众席	419283		2020-02-07T14:36:36.778013
34	安心裤	407082		2020-02-07T14:36:36.778064
35	广西一非法经营野味窝点被查获	380440		2020-02-07T14:36:36.778117
36	清肺排毒汤	370557		2020-02-07T14:36:36.778171
37	松井珠理奈毕业	364311	新	2020-02-07T14:36:36.778225
38	网课	337961		2020-02-07T14:36:36.778293
39	黄霄云	336743	新	2020-02-07T14:36:36.778347
40	黑龙江聚集性疫情共48起发病194人	332671		2020-02-07T14:36:36.778413
41	Apple Watch或将配置Touch ID	319989		2020-02-07T14:36:36.778467
42	歌手歌单	315188	新	2020-02-07T14:36:36.778521
43	北京首次公布疑似病例数量	315182	新	2020-02-07T14:36:36.778589
44	金博洋 中国加油武汉加油	315023	新	2020-02-07T14:36:36.778656
45	新世界	314746	新	2020-02-07T14:36:36.778723
46	武汉市民献花悼念李文亮	314599	新	2020-02-07T14:36:36.778791
47	甘肃贫困村民捐17吨黄瓜给湖北医院	314520	新	2020-02-07T14:36:36.778858
48	CT筛选或将成诊断首选	314382		2020-02-07T14:36:36.778926
49	湖北91岁患者治愈出院	306284		2020-02-07T14:36:36.778982
50	如何正确取快递	306149		2020-02-07T14:36:36.779036
