排名	关键词	热度	特征	时间
1	特朗普宣布暂停资助世卫组织	2987231	热	2020-04-15T04:10:49.710425
2	武汉启动1.1万人血清流行病学调查	1753008	热	2020-04-15T04:10:49.710600
3	柔力刷出新奇迹	1733587	荐	2020-04-15T04:10:49.710753
4	专家建议新冠肺炎愈后3个月再考虑生育	1105620	新	2020-04-15T04:10:49.710897
5	全球最年轻亿万富翁仅22岁	1034491		2020-04-15T04:10:49.711041
6	哈佛专家建议间歇性社交隔离至2022年	937244	新	2020-04-15T04:10:49.711157
7	广东新增2例本土病例	792912	新	2020-04-15T04:10:49.711296
8	美国新冠病毒确诊超60万例	679853		2020-04-15T04:10:49.711435
9	FPX冠军皮肤	678214		2020-04-15T04:10:49.711546
10	张雨剑喊话跟拍者	677073		2020-04-15T04:10:49.711658
11	黑龙江新增8例本土病例	673991	新	2020-04-15T04:10:49.711766
12	世卫组织认为疫情尚未到达顶峰	670924	新	2020-04-15T04:10:49.711903
13	恒大开除于汉超	669792		2020-04-15T04:10:49.712042
14	心疼曹皇后	667566		2020-04-15T04:10:49.712162
15	国际航班经停太原入境确诊13例	665552		2020-04-15T04:10:49.712301
16	武汉连续剧窗帘户主现身	663254		2020-04-15T04:10:49.712414
17	金秀贤怀孕	660491	热	2020-04-15T04:10:49.712523
18	汉堡王	657650	新	2020-04-15T04:10:49.712659
19	印度从未申遗中国象棋	656387		2020-04-15T04:10:49.712796
20	奥巴马支持拜登竞选总统	653948		2020-04-15T04:10:49.712910
21	援鄂男护士收到偶像彭于晏签名照	652032	新	2020-04-15T04:10:49.713019
22	女生性格太敏感是什么体验	651426		2020-04-15T04:10:49.713158
23	369追星成功	639131	新	2020-04-15T04:10:49.713268
24	迪拜人造流星雨	612819		2020-04-15T04:10:49.713405
25	很热门但难就业的专业	517552		2020-04-15T04:10:49.713515
26	海航集团发致歉信	428316	新	2020-04-15T04:10:49.713622
27	一加8	384479		2020-04-15T04:10:49.713759
28	四川鼓励带薪休假与五一连休	380223		2020-04-15T04:10:49.713871
29	吉林乾安发生交通事故致11死5伤	367135	新	2020-04-15T04:10:49.713981
30	张新成呼吁粉丝不要接送机	341047	新	2020-04-15T04:10:49.714120
31	全国统一的家庭群昵称	339148		2020-04-15T04:10:49.714266
32	高三就餐隔离板上印满考点	336800		2020-04-15T04:10:49.714392
33	尼日利亚外长澄清公民在广州遭歧视	241276	新	2020-04-15T04:10:49.714517
34	外交部称美挑拨中非关系极不道德	230972		2020-04-15T04:10:49.714676
35	因颜值问题受到过的委屈	229434		2020-04-15T04:10:49.714800
36	援鄂78天回程送孕妻78支玫瑰	197835	新	2020-04-15T04:10:49.714923
37	辽宁高三开学	191463		2020-04-15T04:10:49.715077
38	疫情下的利比亚	183375		2020-04-15T04:10:49.715201
39	重庆能有多好看	177506		2020-04-15T04:10:49.715322
40	已有289名医务人员支援绥芬河	168179		2020-04-15T04:10:49.715444
41	清平乐	164424		2020-04-15T04:10:49.715564
42	没兴趣的人眼中的男团	156159		2020-04-15T04:10:49.715686
43	中国驻塞浦路斯大使推特被冻结	149343		2020-04-15T04:10:49.715806
44	31省区市新增57例无症状感染者	146399	新	2020-04-15T04:10:49.715929
45	腾讯回应有人利用QQ进行儿童送养	139140		2020-04-15T04:10:49.716081
46	敦煌动画剧	138856	新	2020-04-15T04:10:49.716218
47	学生时代最想弥补的遗憾	138763	新	2020-04-15T04:10:49.716367
48	十年来我的视力变化	138684		2020-04-15T04:10:49.716475
49	N号房70多名收费会员信息确认	136502		2020-04-15T04:10:49.716559
50	李小璐	123657		2020-04-15T04:10:49.716642
