排名	关键词	热度	特征	时间
1	德云社封箱	1538136	沸	2020-01-18T02:18:35.424960
2	乌克兰总统驳回总理辞呈	734986	新	2020-01-18T02:18:35.425131
3	中国电竞人才缺口达50万	670378	新	2020-01-18T02:18:35.425284
4	快递营业场所等应全天候视频监控	478209		2020-01-18T02:18:35.425427
5	西宁地面坍塌搜救停止	442238	新	2020-01-18T02:18:35.425544
6	日本开放部分福岛核禁区	379611		2020-01-18T02:18:35.425683
7	两处世界自然遗产山火中被毁过半	356279		2020-01-18T02:18:35.425794
8	锦衣之下	340608	沸	2020-01-18T02:18:35.425911
9	新疆百里雾凇	320399		2020-01-18T02:18:35.426050
10	武汉新增4例新型冠状病毒肺炎病例	318670		2020-01-18T02:18:35.426162
11	魏大勋唱这个年纪	316897	热	2020-01-18T02:18:35.426274
12	我国男性比女性多3049万	316173		2020-01-18T02:18:35.426413
13	海平面上升印尼2座小岛消失	312311	新	2020-01-18T02:18:35.426523
14	吴京把道具蛋糕给吃了	310555	热	2020-01-18T02:18:35.426662
15	醉驾玛莎拉蒂司机庭审痛哭	310098		2020-01-18T02:18:35.426797
16	韩国地铁今年将全部覆盖5G	307303	新	2020-01-18T02:18:35.426906
17	杭州明确教师平均工资将高于公务员	305599		2020-01-18T02:18:35.427045
18	数码宝贝重启	302112		2020-01-18T02:18:35.427155
19	澳洲大火里的动物英雄	301376	新	2020-01-18T02:18:35.427265
20	春节档电影齐开预售	298833	新	2020-01-18T02:18:35.427401
21	电影中国女排改名	297167		2020-01-18T02:18:35.427536
22	花无缺上线	295845		2020-01-18T02:18:35.427645
23	西安大雾	271882		2020-01-18T02:18:35.427755
24	朴灿烈直播	248454		2020-01-18T02:18:35.427865
25	生理上感到最痛的一次经历	233295		2020-01-18T02:18:35.427973
26	陕西为缅甸修复佛塔	228410	新	2020-01-18T02:18:35.428095
27	你妈开始骂你了吗	220526		2020-01-18T02:18:35.428276
28	搜救犬去看病搜出冬眠小乌龟	174894		2020-01-18T02:18:35.428406
29	寂寞的咖啡豆	161847		2020-01-18T02:18:35.428530
30	彭于晏吴世勋同框	157657		2020-01-18T02:18:35.428653
31	其实2020年已经过完了	147793		2020-01-18T02:18:35.428778
32	张凯毅回来了	140412		2020-01-18T02:18:35.428901
33	2月起海外中国公民护照全球通办	135153		2020-01-18T02:18:35.429023
34	张子枫艺考分数	133618		2020-01-18T02:18:35.429139
35	周震南新发型	131968		2020-01-18T02:18:35.429251
36	当敖丙看到金箍棒	131354		2020-01-18T02:18:35.429364
37	鼠年纪念币开始兑换	129854	新	2020-01-18T02:18:35.429475
38	港珠澳大桥建设者唱响我的祖国	122665		2020-01-18T02:18:35.429611
39	你如何看待穷游	118722		2020-01-18T02:18:35.429720
40	PDD	117730		2020-01-18T02:18:35.429826
41	宝宝周岁宴姥姥做出花式馒头	99698		2020-01-18T02:18:35.429935
42	姜子牙终极预告	92406		2020-01-18T02:18:35.430044
43	福斯影业改名	88862	新	2020-01-18T02:18:35.430153
44	女生有哪些奇妙的逻辑	87203		2020-01-18T02:18:35.430288
45	北京2月2日婚姻登记预约	85345		2020-01-18T02:18:35.430398
46	康辉朱广权尼格买提群口相声	74684		2020-01-18T02:18:35.430506
47	邓紫棋瞪裸纸象	65724		2020-01-18T02:18:35.430615
48	中国航天2020发射次数将突破40次	63604		2020-01-18T02:18:35.430724
49	鞋子双肩包	49640		2020-01-18T02:18:35.430836
50	过年社交恐惧症	42351		2020-01-18T02:18:35.430943
