排名	关键词	热度	特征	时间
1	境内确诊217例新型冠状病毒肺炎病例	5366259	沸	2020-01-20T15:44:39.082902
2	宋丹丹最后一次上春晚	2535375	沸	2020-01-20T15:44:39.083080
3	湖南春晚明星年夜饭	2167492	荐	2020-01-20T15:44:39.083228
4	培养一个医生有多难	1814034	新	2020-01-20T15:44:39.083373
5	戚薇李承铉错位牵手图	1539453	热	2020-01-20T15:44:39.083515
6	绝代双骄myss	1450357		2020-01-20T15:44:39.083654
7	袁今夏吃醋	1449457	新	2020-01-20T15:44:39.083767
8	上海确诊首例新型冠状病毒感染肺炎	1178075	新	2020-01-20T15:44:39.083905
9	李子柒弹棉花	1117557	沸	2020-01-20T15:44:39.084045
10	北京卫健委回应暴力伤医事件	1017458	沸	2020-01-20T15:44:39.084197
11	中国中药协会违规表彰鸿茅药业被处罚	624217	新	2020-01-20T15:44:39.084345
12	木村光希小红帽造型	562864		2020-01-20T15:44:39.084484
13	粉丝举柴犬吸引刘昊然注意	562681		2020-01-20T15:44:39.084594
14	外交部回应新型冠状病毒感染肺炎疫情	551896	热	2020-01-20T15:44:39.084704
15	一分钟科普冠状病毒	543643		2020-01-20T15:44:39.084841
16	央视春晚语言类节目数量破纪录	535675		2020-01-20T15:44:39.084950
17	澳大利亚山火灾区降冰雹	524865		2020-01-20T15:44:39.085061
18	王珞丹 2020第一尴尬现场	512760	新	2020-01-20T15:44:39.085171
19	武汉发热门诊名单	507454		2020-01-20T15:44:39.085310
20	ETC不显示过路费被律师起诉	502632		2020-01-20T15:44:39.085419
21	周丽淇怀孕	500727	热	2020-01-20T15:44:39.085529
22	网恋和奔现的实际差距	493470	新	2020-01-20T15:44:39.085664
23	口红充电宝	483167		2020-01-20T15:44:39.085799
24	医用外科口罩	396538	热	2020-01-20T15:44:39.085910
25	王慧文将退出美团具体管理事务	362050		2020-01-20T15:44:39.086047
26	三生三世枕上书定档	339473		2020-01-20T15:44:39.086172
27	林允儿用中文点菜	313589		2020-01-20T15:44:39.086303
28	医院该不该设置安检	266082	新	2020-01-20T15:44:39.086431
29	放假后沦为仆人的弟弟们	265167		2020-01-20T15:44:39.086589
30	不用橡皮筋扎头发	264987		2020-01-20T15:44:39.086714
31	朝阳医院	264985		2020-01-20T15:44:39.086839
32	林俊杰上海演唱会门票	264972		2020-01-20T15:44:39.086965
33	当快递停运后的你	257160		2020-01-20T15:44:39.087089
34	年龄和辈分不符是什么体验	228562	新	2020-01-20T15:44:39.087212
35	操场埋尸案罪犯杜少平被执行死刑	220047		2020-01-20T15:44:39.087368
36	弟弟在家是关灯神器	211608		2020-01-20T15:44:39.087493
37	爸妈躺被窝套路儿子做早饭	202001		2020-01-20T15:44:39.087617
38	男友的硬核道歉方式	193913		2020-01-20T15:44:39.087741
39	红灯笼耳环	182298	新	2020-01-20T15:44:39.087863
40	Lisa斜刘海	172003		2020-01-20T15:44:39.088018
41	秀智状态	163821		2020-01-20T15:44:39.088142
42	电影夺冠提档	135417		2020-01-20T15:44:39.088288
43	想见你	129826	新	2020-01-20T15:44:39.088413
44	浙江发现5例武汉来浙并有发热等症状患者	121566		2020-01-20T15:44:39.088568
45	90后小伙中百万年货分给全村	120873		2020-01-20T15:44:39.088682
46	央视春晚第四次联排	116496		2020-01-20T15:44:39.088768
47	囧妈提档	114702		2020-01-20T15:44:39.088853
48	如何看待女厕设男童小便池	110105		2020-01-20T15:44:39.088937
49	吴花燕相关善款全部原路退回	107631		2020-01-20T15:44:39.089020
50	国航一新加坡飞北京航班备降广州	107504		2020-01-20T15:44:39.089102
