排名	关键词	热度	特征	时间
1	医用口罩生产后要解析14天	2188868	新	2020-02-16T04:22:00.534841
2	男子解除隔离10天后发病	2182250	沸	2020-02-16T04:22:00.534928
3	江苏医生结婚第二天就出征	2172183		2020-02-16T04:22:00.534994
4	湖北通报首次未见疑似病例	2150525	沸	2020-02-16T04:22:00.535044
5	姚晨转发求助信息	2144229	热	2020-02-16T04:22:00.535106
6	高伟光演技	2132341	新	2020-02-16T04:22:00.535165
7	武汉病毒所目前零感染	1990697	沸	2020-02-16T04:22:00.535223
8	爱的迫降 女主男二	1739993	新	2020-02-16T04:22:00.535282
9	段正澄院士去世	1098348	沸	2020-02-16T04:22:00.535340
10	最后一名飞虎队成员去世	1087143	热	2020-02-16T04:22:00.535399
11	全明星MVP命名科比MVP	1000609		2020-02-16T04:22:00.535459
12	想见你片头	989743	新	2020-02-16T04:22:00.535506
13	新冠肺炎已开始在日本流行	929544	热	2020-02-16T04:22:00.535563
14	仙本那	913644		2020-02-16T04:22:00.535621
15	黑龙江新增20例新冠肺炎	663624	新	2020-02-16T04:22:00.535667
16	蝗灾到6月或再增500倍	657508	热	2020-02-16T04:22:00.535724
17	图像显示澳洲大火烟雾已蔓延全球	655829		2020-02-16T04:22:00.535782
18	血浆治疗	649841	新	2020-02-16T04:22:00.535828
19	疫情下的口罩厂	638525		2020-02-16T04:22:00.535885
20	玄彬孙艺珍好配	634868		2020-02-16T04:22:00.535931
21	黄燕玲	588026		2020-02-16T04:22:00.535975
22	地震	576337		2020-02-16T04:22:00.536020
23	韦德带动全场致敬科比	571173	新	2020-02-16T04:22:00.536066
24	巴萨声援中国	569689		2020-02-16T04:22:00.536124
25	连续4天治愈出院超千人	569683	新	2020-02-16T04:22:00.536169
26	美驻伊大使馆遭多枚火箭弹袭击	513827		2020-02-16T04:22:00.536241
27	湖北以外新增确诊病例12连降	502682		2020-02-16T04:22:00.536289
28	湖北通报6起防疫不力问责8人	500047	新	2020-02-16T04:22:00.536334
29	做饭翻车现场大赏	499851	新	2020-02-16T04:22:00.536394
30	治愈患者留在药盒上的一首诗	499818		2020-02-16T04:22:00.536453
31	钻石公主号新确诊70例新冠肺炎	496558	新	2020-02-16T04:22:00.536499
32	艾伦送花给陈乔恩	367965		2020-02-16T04:22:00.536556
33	全国累计确诊新冠肺炎68500例	365878		2020-02-16T04:22:00.536601
34	谭德塞驳斥外媒挑事提问力挺中国	342060		2020-02-16T04:22:00.536646
35	下一站是幸福预告	341966		2020-02-16T04:22:00.536693
36	辅警抗疫一线奋战18天殉职	311127	新	2020-02-16T04:22:00.536739
37	美国人在巴黎	274184		2020-02-16T04:22:00.536797
38	郭麒麟给范闲配音	273483		2020-02-16T04:22:00.536842
39	候车室女侠	264132		2020-02-16T04:22:00.536887
40	湖北新增新冠肺炎1843例	250625		2020-02-16T04:22:00.536933
41	直播云蹦迪	241790		2020-02-16T04:22:00.536978
42	扣篮大赛	239759	新	2020-02-16T04:22:00.537023
43	峨眉山景区向全国医护工作者免费开放	237866	新	2020-02-16T04:22:00.537081
44	谷爱凌世界杯两连冠创造历史	235329	新	2020-02-16T04:22:00.537141
45	谭德塞赞赏中国为疫情做出的努力	234571	新	2020-02-16T04:22:00.537199
46	爱的迫降	232500		2020-02-16T04:22:00.537256
47	李荣浩	217637		2020-02-16T04:22:00.537302
48	李佳琦向助理安利堂妹	185645		2020-02-16T04:22:00.537347
49	四川自贡4.4级地震	178989		2020-02-16T04:22:00.537394
50	伦纳德跳舞	172840	新	2020-02-16T04:22:00.537440
