排名	关键词	热度	特征	时间
1	李菁菁回应	2607455	热	2020-04-17T04:41:24.595737
2	N号房共犯长相	1518577	新	2020-04-17T04:41:24.595870
3	英国感染新冠护士去世前紧急剖腹产	947169	新	2020-04-17T04:41:24.595988
4	周扬青短发	922340	热	2020-04-17T04:41:24.596076
5	美国新冠病毒确诊接近66万例	764497		2020-04-17T04:41:24.596164
6	一首歌安利综艺大赛	759091		2020-04-17T04:41:24.596249
7	山东新增2例本土确诊病例	736043	新	2020-04-17T04:41:24.596320
8	武汉将投放5亿元消费券	637857		2020-04-17T04:41:24.596407
9	英国议会将以视频会议形式重启	636298		2020-04-17T04:41:24.596472
10	出门遛乌龟被罚款400欧元	636179		2020-04-17T04:41:24.596536
11	亚马逊再创历史新高	550310		2020-04-17T04:41:24.596599
12	和平精英新皮肤	488855		2020-04-17T04:41:24.596661
13	秦皇岛高三师生封闭管理至高考结束	478907		2020-04-17T04:41:24.596722
14	曾可妮身材	478872		2020-04-17T04:41:24.596785
15	一季度GDP同比下降6.8%	478437	新	2020-04-17T04:41:24.596848
16	普京宣布推迟胜利日阅兵准备工作	478334		2020-04-17T04:41:24.596925
17	浙江警方抓获杀人逃亡26年嫌犯	477949	新	2020-04-17T04:41:24.596987
18	300万法拉利360度漂移后100万没了	477650		2020-04-17T04:41:24.597065
19	原来这就是涡轮增鸭	477649		2020-04-17T04:41:24.597127
20	特朗普预计美疫情死亡人数将低于预期	431431		2020-04-17T04:41:24.597189
21	Facebook调整Libra天秤币计划	412856	新	2020-04-17T04:41:24.597250
22	陈粒抱歉抱歉	376497		2020-04-17T04:41:24.597327
23	香川照之开微博	287172		2020-04-17T04:41:24.597389
24	考个S弯累坏了	283489		2020-04-17T04:41:24.597451
25	北京今日阵风达9级	263967	新	2020-04-17T04:41:24.597512
26	德普开通社交账号	260009	新	2020-04-17T04:41:24.597588
27	谢可寅放弃C位	242423		2020-04-17T04:41:24.597665
28	一季度人均可支配收入8561元	233982	新	2020-04-17T04:41:24.597727
29	如果我主动找你聊天	230260		2020-04-17T04:41:24.597804
30	抚顺	221891		2020-04-17T04:41:24.597865
31	辽宁新增1例本土病例	217788		2020-04-17T04:41:24.597926
32	青春有你	216984		2020-04-17T04:41:24.597987
33	美国上周新增失业人数超520万	212819		2020-04-17T04:41:24.598048
34	世卫组织是如何反复提醒各国抗疫的	201342	新	2020-04-17T04:41:24.598109
35	广州疫情	194789	新	2020-04-17T04:41:24.598186
36	加拿大新冠肺炎确诊病例超3万	182476		2020-04-17T04:41:24.598263
37	31省区市新增66例无症状感染者	174625	新	2020-04-17T04:41:24.598325
38	井柏然和李佳琦讨论搓澡	163943		2020-04-17T04:41:24.598400
39	虞书欣表白孔雪儿	160989		2020-04-17T04:41:24.598460
40	全球15亿儿童受新冠疫情冲击	160550	新	2020-04-17T04:41:24.598522
41	赵小棠侧空翻	146872		2020-04-17T04:41:24.598598
42	航空公司拆客机座椅改货机	144271		2020-04-17T04:41:24.598659
43	曹皇后戎装	141403		2020-04-17T04:41:24.598720
44	暧昧期让人心动的细节	140011		2020-04-17T04:41:24.598782
45	蔡徐坤指导张钰	135636		2020-04-17T04:41:24.598844
46	罗斯福号疫情从核反应堆部门暴发	132890	新	2020-04-17T04:41:24.598905
47	没有梦想的大衣	132165	新	2020-04-17T04:41:24.598981
48	喻言 都是男子汉哭什么	131994		2020-04-17T04:41:24.599059
49	新疆天山玉湖冰面开始消融	121938		2020-04-17T04:41:24.599121
50	黑龙江新增8例境外输入病例	120817		2020-04-17T04:41:24.599182
