Numbers,Timestamp
48,2020-03-16T23:32:46.864618
48,2020-03-16T23:37:49.818743
48,2020-03-16T23:42:51.905003
48,2020-03-16T23:47:54.276686
48,2020-03-16T23:52:56.376121
48,2020-03-16T23:57:58.601767
48,2020-03-17T00:03:00.695105
48,2020-03-17T00:08:03.693728
48,2020-03-17T00:13:05.565885
51,2020-03-17T00:18:08.287910
52,2020-03-17T00:23:10.676844
52,2020-03-17T00:28:13.403594
55,2020-03-17T00:33:15.796677
56,2020-03-17T00:38:18.104073
57,2020-03-17T00:43:19.980481
57,2020-03-17T00:48:22.231185
57,2020-03-17T00:53:24.320892
58,2020-03-17T00:58:27.464926
59,2020-03-17T01:03:29.736821
62,2020-03-17T01:08:31.994463
66,2020-03-17T01:13:34.334250
66,2020-03-17T01:18:37.211469
68,2020-03-17T01:23:39.060238
69,2020-03-17T01:28:41.685670
73,2020-03-17T01:33:44.612910
75,2020-03-17T01:38:46.899710
81,2020-03-17T01:43:49.175406
83,2020-03-17T01:48:52.322791
87,2020-03-17T01:53:55.139512
87,2020-03-17T01:58:57.432096
88,2020-03-17T02:03:59.825177
90,2020-03-17T02:09:02.845255
90,2020-03-17T02:14:04.833615
91,2020-03-17T02:19:08.080125
93,2020-03-17T02:24:10.209124
96,2020-03-17T02:29:12.576301
97,2020-03-17T02:34:15.172562
99,2020-03-17T02:39:17.323493
100,2020-03-17T02:44:19.191002
102,2020-03-17T02:49:21.456352
102,2020-03-17T02:54:25.891318
103,2020-03-17T02:59:28.447638
103,2020-03-17T03:04:30.727125
103,2020-03-17T03:09:33.883313
104,2020-03-17T03:14:36.882260
106,2020-03-17T03:19:40.274914
106,2020-03-17T03:24:42.155470
106,2020-03-17T03:29:45.284897
108,2020-03-17T03:34:47.284821
109,2020-03-17T03:39:50.239495
111,2020-03-17T03:44:52.315457
111,2020-03-17T03:49:54.824024
112,2020-03-17T03:54:57.533478
112,2020-03-17T04:00:00.639799
114,2020-03-17T04:05:02.957740
116,2020-03-17T04:10:05.940743
119,2020-03-17T04:15:07.822100
119,2020-03-17T04:20:10.403244
120,2020-03-17T04:25:13.034067
121,2020-03-17T04:30:15.085700
122,2020-03-17T04:35:17.163046
122,2020-03-17T04:40:20.546261
123,2020-03-17T04:45:25.518073
124,2020-03-17T04:50:29.003995
126,2020-03-17T04:55:32.314899
128,2020-03-17T05:00:36.901526
130,2020-03-17T05:05:40.265790
133,2020-03-17T05:10:43.523196
134,2020-03-17T05:15:45.569949
134,2020-03-17T05:20:47.899977
136,2020-03-17T05:25:50.252759
137,2020-03-17T05:30:52.605270
138,2020-03-17T05:35:54.605245
144,2020-03-17T05:40:57.755816
149,2020-03-17T05:45:59.588011
151,2020-03-17T05:51:02.156294
152,2020-03-17T05:56:04.835239
153,2020-03-17T06:01:07.066354
153,2020-03-17T06:06:09.260582
154,2020-03-17T06:11:11.914289
154,2020-03-17T06:16:13.861453
154,2020-03-17T06:21:18.378370
154,2020-03-17T06:26:20.325342
157,2020-03-17T06:31:23.379851
159,2020-03-17T06:36:25.589981
160,2020-03-17T06:41:28.742502
160,2020-03-17T06:46:31.102886
161,2020-03-17T06:51:33.931951
164,2020-03-17T06:56:36.599751
166,2020-03-17T07:01:40.379118
168,2020-03-17T07:06:43.059956
168,2020-03-17T07:11:46.551339
168,2020-03-17T07:16:48.762258
170,2020-03-17T07:21:52.874775
172,2020-03-17T07:26:55.062957
173,2020-03-17T07:31:57.958066
174,2020-03-17T07:37:01.401579
174,2020-03-17T07:42:05.545192
176,2020-03-17T07:47:09.676529
176,2020-03-17T07:52:12.801157
180,2020-03-17T07:57:15.517535
181,2020-03-17T08:02:17.926291
181,2020-03-17T08:07:20.305697
182,2020-03-17T08:12:23.023965
182,2020-03-17T08:17:25.252846
184,2020-03-17T08:22:28.066074
184,2020-03-17T08:27:30.920613
185,2020-03-17T08:32:34.912108
186,2020-03-17T08:37:37.638456
190,2020-03-17T08:42:40.804674
190,2020-03-17T08:47:43.705699
191,2020-03-17T08:52:46.947146
193,2020-03-17T08:57:49.488665
197,2020-03-17T09:02:52.083096
197,2020-03-17T09:07:54.663136
197,2020-03-17T09:12:57.479472
201,2020-03-17T09:18:00.749204
201,2020-03-17T09:23:04.086076
202,2020-03-17T09:28:06.513380
203,2020-03-17T09:33:08.758125
203,2020-03-17T09:38:11.056298
208,2020-03-17T09:43:14.260330
209,2020-03-17T09:48:17.027979
211,2020-03-17T09:53:20.171493
212,2020-03-17T09:58:22.346560
213,2020-03-17T10:03:24.951827
214,2020-03-17T10:08:27.861874
214,2020-03-17T10:13:30.440144
214,2020-03-17T10:18:32.699843
214,2020-03-17T10:23:34.933577
216,2020-03-17T10:28:37.094915
219,2020-03-17T10:33:40.355531
221,2020-03-17T10:38:43.060612
221,2020-03-17T10:43:45.685943
222,2020-03-17T10:48:47.691822
223,2020-03-17T10:53:49.936537
225,2020-03-17T10:58:52.788919
227,2020-03-17T11:03:55.727688
229,2020-03-17T11:08:58.394646
229,2020-03-17T11:14:01.060829
231,2020-03-17T11:19:03.406086
233,2020-03-17T11:24:05.675068
233,2020-03-17T11:29:09.457787
236,2020-03-17T11:34:12.046456
236,2020-03-17T11:39:14.725285
240,2020-03-17T11:44:19.031798
242,2020-03-17T11:49:26.623932
244,2020-03-17T11:54:31.151220
247,2020-03-17T11:59:34.912101
249,2020-03-17T12:04:37.668740
250,2020-03-17T12:09:39.544631
250,2020-03-17T12:14:42.164807
251,2020-03-17T12:19:44.545031
252,2020-03-17T12:24:47.360055
252,2020-03-17T12:29:52.606415
255,2020-03-17T12:34:56.010305
258,2020-03-17T12:39:58.108562
258,2020-03-17T12:45:00.671756
261,2020-03-17T12:50:02.687328
261,2020-03-17T12:55:05.453140
263,2020-03-17T13:00:07.513762
263,2020-03-17T13:05:09.816427
265,2020-03-17T13:10:11.851919
265,2020-03-17T13:15:15.230993
266,2020-03-17T13:20:17.380401
269,2020-03-17T13:25:20.135357
269,2020-03-17T13:30:22.472659
272,2020-03-17T13:35:25.437909
273,2020-03-17T13:40:27.725803
275,2020-03-17T13:45:30.835216
277,2020-03-17T13:50:32.715667
279,2020-03-17T13:55:35.867860
281,2020-03-17T14:00:39.151707
285,2020-03-17T14:05:41.812655
288,2020-03-17T14:10:48.221625
289,2020-03-17T14:15:54.403335
289,2020-03-17T14:20:56.644687
289,2020-03-17T14:25:59.884305
289,2020-03-17T14:31:02.192635
289,2020-03-17T14:36:06.059166
291,2020-03-17T14:41:08.326060
292,2020-03-17T14:46:11.222768
293,2020-03-17T14:51:14.032393
294,2020-03-17T14:56:17.282861
294,2020-03-17T15:01:19.857055
296,2020-03-17T15:06:22.314282
296,2020-03-17T15:11:24.281530
297,2020-03-17T15:16:27.271094
298,2020-03-17T15:21:31.370787
301,2020-03-17T15:26:34.692380
301,2020-03-17T15:31:37.580248
301,2020-03-17T15:36:41.890023
305,2020-03-17T15:41:44.393934
305,2020-03-17T15:46:48.614588
306,2020-03-17T15:51:51.301641
307,2020-03-17T15:56:53.815507
307,2020-03-17T16:01:56.153963
307,2020-03-17T16:06:59.015399
308,2020-03-17T16:12:01.451871
309,2020-03-17T16:17:04.545712
310,2020-03-17T16:22:07.945185
310,2020-03-17T16:27:10.912474
310,2020-03-17T16:32:13.811173
310,2020-03-17T16:37:16.459150
310,2020-03-17T16:42:19.404544
310,2020-03-17T16:47:22.734518
310,2020-03-17T16:52:25.234993
310,2020-03-17T16:57:27.928437
310,2020-03-17T17:02:30.239843
310,2020-03-17T17:07:33.078624
310,2020-03-17T17:12:35.081310
310,2020-03-17T17:17:38.198667
310,2020-03-17T17:22:41.169261
310,2020-03-17T17:27:43.492330
310,2020-03-17T17:32:47.495765
310,2020-03-17T17:37:50.879196
310,2020-03-17T17:42:53.759138
310,2020-03-17T17:47:57.206514
310,2020-03-17T17:52:59.693346
310,2020-03-17T17:58:03.042177
310,2020-03-17T18:03:05.094628
310,2020-03-17T18:08:08.147391
