Numbers,Timestamp
48,2019-12-16T12:47:04.675398
51,2019-12-16T12:52:06.004485
53,2019-12-16T12:57:12.640263
55,2019-12-16T13:02:22.831145
56,2019-12-16T13:07:27.710300
57,2019-12-16T13:12:43.696383
59,2019-12-16T13:17:47.564979
63,2019-12-16T13:22:48.938580
66,2019-12-16T13:27:50.757730
79,2019-12-16T14:49:13.351729
80,2019-12-16T14:54:14.701130
80,2019-12-16T14:59:18.810288
80,2019-12-16T15:04:22.381244
82,2019-12-16T15:09:26.232497
82,2019-12-16T15:14:29.104631
85,2019-12-16T15:19:35.373323
86,2019-12-16T15:24:37.243506
87,2019-12-16T15:29:47.724133
87,2019-12-16T15:34:50.446410
87,2019-12-16T15:39:51.949505
87,2019-12-16T15:44:56.242894
90,2019-12-16T15:50:08.519060
91,2019-12-16T15:55:11.195534
93,2019-12-16T16:00:12.791564
95,2019-12-16T16:05:15.691350
96,2019-12-16T16:10:22.333263
96,2019-12-16T16:15:28.979702
97,2019-12-16T16:20:38.117541
97,2019-12-16T16:25:41.829036
97,2019-12-16T16:30:58.622631
100,2019-12-16T16:36:00.169656
101,2019-12-16T16:41:03.745114
101,2019-12-16T16:46:06.037824
101,2019-12-16T16:51:10.051193
101,2019-12-16T16:56:12.083719
102,2019-12-16T17:01:13.661981
102,2019-12-16T17:06:17.226663
102,2019-12-16T17:11:21.871621
102,2019-12-16T17:16:31.557824
102,2019-12-16T17:21:37.016518
102,2019-12-16T17:26:47.439386
102,2019-12-16T17:31:49.934238
102,2019-12-16T17:36:53.323251
102,2019-12-16T17:41:58.752071
102,2019-12-16T17:47:04.647378
102,2019-12-16T17:52:08.301161
102,2019-12-16T17:57:18.114742
102,2019-12-16T18:02:23.487511
102,2019-12-16T18:07:27.846938
102,2019-12-16T18:12:31.204923
102,2019-12-16T18:17:33.523854
102,2019-12-16T18:22:36.054955
102,2019-12-16T18:27:40.146803
102,2019-12-16T18:32:45.181185
102,2019-12-16T18:37:55.104856
102,2019-12-16T18:42:59.567941
102,2019-12-16T18:48:09.734595
102,2019-12-16T18:53:11.449548
102,2019-12-16T18:58:14.112140
102,2019-12-16T19:03:15.832519
102,2019-12-16T19:08:29.531671
102,2019-12-16T19:13:32.687348
102,2019-12-16T19:18:35.189837
102,2019-12-16T19:23:36.860448
102,2019-12-16T19:28:38.458962
102,2019-12-16T19:33:43.304077
102,2019-12-16T19:38:44.982026
102,2019-12-16T19:43:49.450201
102,2019-12-16T19:48:51.876537
102,2019-12-16T19:53:53.504657
102,2019-12-16T19:58:55.089621
102,2019-12-16T20:03:57.377970
102,2019-12-16T20:08:58.823395
102,2019-12-16T20:14:01.088982
102,2019-12-16T20:19:06.317003
102,2019-12-16T20:24:07.763892
102,2019-12-16T20:29:09.935027
102,2019-12-16T20:34:11.363274
102,2019-12-16T20:39:13.639563
102,2019-12-16T20:44:15.059583
102,2019-12-16T20:49:17.280855
102,2019-12-16T20:54:19.827071
102,2019-12-16T20:59:21.311438
102,2019-12-16T21:04:22.765004
102,2019-12-16T21:09:24.177457
102,2019-12-16T21:14:25.638015
102,2019-12-16T21:19:27.075725
102,2019-12-16T21:24:28.487376
102,2019-12-16T21:29:29.932430
102,2019-12-16T21:34:32.429458
102,2019-12-16T21:39:34.577552
102,2019-12-16T21:44:36.777910
102,2019-12-16T21:49:38.192259
102,2019-12-16T21:54:39.589337
102,2019-12-16T21:59:41.019856
102,2019-12-16T22:04:43.154431
102,2019-12-16T22:09:45.335844
102,2019-12-16T22:14:46.759003
102,2019-12-16T22:19:48.947813
102,2019-12-16T22:24:51.170522
102,2019-12-16T22:29:52.620006
102,2019-12-16T22:34:54.800702
102,2019-12-16T22:39:56.957015
102,2019-12-16T22:44:59.133484
102,2019-12-16T22:50:01.343152
102,2019-12-16T22:55:03.525237
102,2019-12-16T23:00:04.889801
102,2019-12-16T23:05:07.422868
102,2019-12-16T23:10:09.638623
102,2019-12-16T23:15:11.036597
102,2019-12-16T23:20:12.466577
102,2019-12-16T23:25:13.919363
102,2019-12-16T23:30:16.144935
102,2019-12-16T23:35:17.564180
102,2019-12-16T23:40:20.519305
102,2019-12-16T23:45:22.127993
102,2019-12-16T23:50:23.587882
102,2019-12-16T23:55:25.189487
102,2019-12-17T00:00:27.266618
102,2019-12-17T00:05:29.670153
104,2019-12-17T00:10:30.983006
107,2019-12-17T00:15:32.621665
109,2019-12-17T00:20:38.709154
110,2019-12-17T00:25:40.364554
112,2019-12-17T00:30:43.068906
112,2019-12-17T00:35:44.690182
114,2019-12-17T00:40:48.062627
115,2019-12-17T00:45:50.489018
115,2019-12-17T00:50:51.799811
116,2019-12-17T00:55:55.417511
116,2019-12-17T01:00:56.689095
116,2019-12-17T01:06:04.578950
116,2019-12-17T01:11:05.853358
118,2019-12-17T01:16:08.293060
118,2019-12-17T01:21:11.042281
119,2019-12-17T01:26:13.458931
120,2019-12-17T01:31:16.542841
120,2019-12-17T01:36:18.181312
120,2019-12-17T01:41:19.490007
121,2019-12-17T01:46:21.614082
122,2019-12-17T01:51:22.916427
123,2019-12-17T01:56:25.112388
123,2019-12-17T02:01:28.351563
124,2019-12-17T02:06:31.154852
126,2019-12-17T02:11:33.422513
127,2019-12-17T02:16:36.970659
129,2019-12-17T02:21:39.293296
131,2019-12-17T02:26:41.133734
136,2019-12-17T02:31:42.509246
137,2019-12-17T02:36:44.223407
137,2019-12-17T02:41:45.592584
137,2019-12-17T02:46:48.195552
137,2019-12-17T02:51:50.521861
138,2019-12-17T02:56:52.348605
139,2019-12-17T03:01:53.681969
139,2019-12-17T03:06:57.247303
139,2019-12-17T03:11:58.607904
139,2019-12-17T03:17:03.849972
141,2019-12-17T03:22:05.208536
143,2019-12-17T03:27:07.039964
143,2019-12-17T03:32:10.176260
143,2019-12-17T03:37:12.031219
145,2019-12-17T03:42:14.338671
145,2019-12-17T03:47:16.152254
146,2019-12-17T03:52:18.468300
147,2019-12-17T03:57:21.434769
148,2019-12-17T04:02:24.702175
