Numbers,Timestamp
48,2020-03-03T22:04:26.254810
48,2020-03-03T22:09:27.746665
48,2020-03-03T22:14:30.162723
48,2020-03-03T22:19:31.976109
48,2020-03-03T22:24:34.269575
48,2020-03-03T22:29:35.757792
48,2020-03-03T22:34:37.609736
49,2020-03-03T22:39:39.574435
49,2020-03-03T22:44:41.905809
49,2020-03-03T22:49:43.680259
49,2020-03-03T22:54:45.612674
49,2020-03-03T22:59:47.845608
49,2020-03-03T23:04:49.499275
49,2020-03-03T23:09:50.994001
49,2020-03-03T23:14:53.124914
49,2020-03-03T23:19:54.934345
49,2020-03-03T23:24:56.920330
49,2020-03-03T23:29:58.973684
49,2020-03-03T23:35:01.054650
49,2020-03-03T23:40:02.836690
49,2020-03-03T23:45:04.778756
49,2020-03-03T23:50:06.761795
49,2020-03-03T23:55:08.979009
49,2020-03-04T00:00:10.523848
49,2020-03-04T00:05:12.463979
49,2020-03-04T00:10:15.328454
49,2020-03-04T00:15:17.549495
50,2020-03-04T00:20:19.085060
56,2020-03-04T00:25:21.026840
56,2020-03-04T00:30:23.060003
58,2020-03-04T00:35:24.760243
59,2020-03-04T00:40:26.568653
59,2020-03-04T00:45:29.083664
62,2020-03-04T00:50:30.637656
62,2020-03-04T00:55:32.380862
62,2020-03-04T01:00:34.198228
62,2020-03-04T01:05:35.940334
64,2020-03-04T01:10:37.712852
64,2020-03-04T01:15:39.736060
66,2020-03-04T01:20:41.309666
67,2020-03-04T01:25:44.778187
68,2020-03-04T01:30:46.345966
69,2020-03-04T01:35:48.571580
71,2020-03-04T01:40:50.552336
72,2020-03-04T01:45:52.802028
74,2020-03-04T01:50:54.865484
77,2020-03-04T01:55:56.865450
78,2020-03-04T02:00:58.444387
78,2020-03-04T02:06:00.703688
78,2020-03-04T02:11:02.306503
80,2020-03-04T02:16:04.922870
80,2020-03-04T02:21:06.706588
80,2020-03-04T02:26:10.631071
82,2020-03-04T02:31:12.445088
83,2020-03-04T02:36:14.930831
84,2020-03-04T02:41:17.302683
85,2020-03-04T02:46:20.081130
87,2020-03-04T02:51:22.355495
89,2020-03-04T02:56:24.989341
90,2020-03-04T03:01:26.839700
90,2020-03-04T03:06:30.630706
91,2020-03-04T03:11:34.572293
91,2020-03-04T03:22:08.060474
92,2020-03-04T03:27:10.115812
94,2020-03-04T03:32:12.340453
96,2020-03-04T03:37:15.306029
96,2020-03-04T03:42:17.219964
97,2020-03-04T03:47:21.070512
97,2020-03-04T03:52:23.190521
99,2020-03-04T03:57:25.314787
101,2020-03-04T04:02:27.306057
103,2020-03-04T04:07:29.887162
103,2020-03-04T04:12:31.918499
105,2020-03-04T04:17:35.370007
105,2020-03-04T04:22:37.677019
106,2020-03-04T04:27:40.852642
107,2020-03-04T04:32:42.712889
